record_point,rotation_different,animator_rotation,agent_rotation,reward
168, 9.672249, 2594583, 3186855, 0.7978091
169, 7.569742, 2581696, 2988007, 0.7983094
170, 7.025109, 2565465, 3132164, 0.8034216
171, 8.974763, 2552526, 3072828, 0.7949924
172, 10.67332, 2410790, 3104811, 0.7892128
173, 8.560387, 2273073, 3067771, 0.8028886
174, 7.408622, 2635549, 2562122, 0.8076765
175, 7.932714, 2608331, 2944194, 0.805991
176, 8.877089, 2587536, 3245002, 0.805958
177, 8.342317, 2572422, 2950694, 0.8077481
178, 6.999881, 2563953, 2842728, 0.8057441
179, 8.745297, 2558992, 2892001, 0.7958775
180, 10.71835, 2556499, 2709618, 0.7988269
181, 9.343488, 2557217, 2938592, 0.8024889
182, 8.726317, 2688469, 2631458, 0.8022474
183, 9.603253, 2691623, 2862580, 0.7968274
184, 11.21973, 2564725, 2793523, 0.7960848
185, 11.08364, 2696256, 2711031, 0.7919455
186, 13.59393, 2566027, 2808938, 0.7782705
187, 17.28775, 2564449, 2702582, 0.7763856
188, 16.39825, 2562447, 3084321, 0.7861227
189, 15.20249, 2559167, 3111796, 0.7861193
190, 12.65084, 2555262, 3193616, 0.7864298
191, 11.16683, 2550561, 3135548, 0.7947947
192, 11.01168, 2542535, 3183300, 0.794504
193, 11.31999, 2560185, 3038068, 0.7973433
194, 11.03245, 2394218, 2944160, 0.7977949
195, 11.98278, 2255413, 2860751, 0.7874351
196, 12.84431, 2259279, 3054841, 0.7918477
197, 12.40431, 2394616, 3082287, 0.7968609
198, 11.34652, 2394249, 3087804, 0.7990052
199, 10.32253, 2401289, 3069450, 0.7952987
200, 9.623557, 2407247, 3113867, 0.7963718
201, 9.336394, 2425438, 2774615, 0.7995797
202, 8.671079, 2578183, 3043171, 0.8071849
203, 8.425671, 2862888, 2833443, 0.8007941
204, 9.816089, 2754198, 3041192, 0.7972432
205, 9.956619, 2766808, 3184354, 0.8006694
206, 9.985106, 2767339, 3195481, 0.7967934
207, 8.724774, 2764853, 3071683, 0.800055
208, 9.030562, 2756626, 2896155, 0.7950366
209, 11.20951, 2618978, 3017071, 0.7883077
210, 11.93414, 2610001, 3109587, 0.7925082
211, 11.6833, 2622407, 2892419, 0.7859598
212, 12.9789, 2757481, 2963892, 0.7768435
213, 14.70186, 2753426, 3054234, 0.7736226
214, 14.02546, 2487112, 3078720, 0.780779
215, 12.65865, 2473367, 3087782, 0.7812268
216, 12.13064, 2589954, 3184688, 0.7863963
217, 13.27198, 2582654, 3082776, 0.7833846
218, 14.1952, 2586271, 2900049, 0.7821811
219, 13.06222, 2489335, 2673710, 0.7752315
220, 11.98765, 2607253, 2853155, 0.7794204
221, 12.90527, 2624903, 2869948, 0.7772375
222, 15.94345, 2638911, 2695918, 0.7721117
223, 16.03278, 2636592, 3082609, 0.7819953
224, 15.01955, 2749886, 3063333, 0.7829293
225, 13.85548, 2589472, 2801475, 0.7826713
226, 13.11739, 2804411, 3138653, 0.7795038
227, 14.12364, 3033674, 3193655, 0.7777233
228, 14.98825, 3014173, 3053818, 0.7755786
229, 15.29505, 3005318, 2943837, 0.7755701
230, 14.95274, 3001415, 2834325, 0.7710363
231, 16.73079, 3000924, 2845323, 0.7688452
232, 19.36108, 2999874, 2868069, 0.7620335
233, 18.91344, 2999873, 3179578, 0.7634494
234, 18.08959, 2998853, 3208791, 0.7640108
235, 17.4784, 2866359, 3599465, 0.7636982
236, 16.85936, 2867436, 3376582, 0.7697343
237, 15.62238, 2882273, 3322642, 0.7762267
238, 15.54815, 3033178, 3074896, 0.7767937
239, 16.39054, 3047188, 2801043, 0.7692848
240, 19.50637, 3058091, 2854116, 0.7607985
241, 24.71045, 3064840, 3012643, 0.7479201
242, 27.36546, 3199349, 3024709, 0.7357745
243, 26.04073, 3199095, 3175336, 0.7381163
244, 24.69224, 3198138, 3221238, 0.739476
245, 22.39405, 3196795, 3272601, 0.7488741
246, 19.87584, 3195065, 3311437, 0.7527373
247, 20.35485, 3193814, 3401875, 0.7536525
248, 22.45191, 3062188, 3147970, 0.7459232
249, 25.97377, 3060262, 2961958, 0.7386677
250, 29.67861, 2796400, 3004304, 0.7256075
251, 32.95242, 2788030, 2914263, 0.7256442
252, 32.87122, 2780069, 2904745, 0.7223151
253, 28.54083, 2902653, 2890551, 0.7239038
254, 26.27515, 2895497, 3105852, 0.731882
255, 24.44495, 2889075, 3125092, 0.7341315
256, 23.52002, 2883228, 3328830, 0.7369424
257, 22.78616, 2877705, 3215960, 0.7361158
258, 24.05122, 2742654, 2568055, 0.7116728
259, 27.43841, 2737457, 3018479, 0.7104907
260, 28.95262, 2473236, 2923920, 0.7072856
261, 25.04164, 2468540, 2971274, 0.7102438
262, 24.91719, 2464353, 3340267, 0.7013931
263, 23.74111, 2460787, 3635945, 0.7271479
264, 23.84352, 2457890, 3701101, 0.7243831
265, 24.09826, 2455778, 3957607, 0.720873
266, 24.10073, 2455219, 3941022, 0.7400915
267, 20.4731, 2462674, 3787306, 0.7343615
268, 21.2114, 2203515, 3383391, 0.7016969
269, 27.49883, 2197402, 2971720, 0.6676825
270, 25.35068, 2196824, 2849399, 0.6997105
271, 22.76083, 2198793, 2468263, 0.7419152
272, 22.14507, 2202595, 2653538, 0.7500194
273, 21.7295, 2208430, 3035494, 0.7517307
274, 20.46717, 2338914, 3001103, 0.7565482
275, 19.90105, 2339786, 2651646, 0.7550291
276, 21.80703, 2204267, 2966695, 0.7463304
277, 23.80229, 2196615, 2879172, 0.7349829
278, 26.4063, 2190021, 3275460, 0.7241881
279, 26.63824, 2185671, 2716298, 0.7247437
280, 24.22229, 2182692, 3118331, 0.7349024
281, 20.25728, 2180082, 2940351, 0.7296479
282, 20.26217, 2177481, 3299139, 0.7354372
283, 21.59609, 2174164, 2891779, 0.7389045
284, 23.58256, 2171086, 2726700, 0.7215359
285, 23.59608, 2169252, 2723240, 0.7179524
286, 23.61467, 2169048, 2905023, 0.7464134
287, 19.48544, 2170052, 3012728, 0.7292598
288, 19.49305, 2172557, 3272889, 0.7372977
289, 19.59674, 2175552, 3032025, 0.7391615
290, 19.89791, 2179085, 2974428, 0.7322556
291, 19.18642, 2313097, 2563896, 0.7340487
