record_point,rotation_different,animator_rotation,agent_rotation,reward
143, 12.56718, 2542535, 3162681, 0.7806982
144, 10.84755, 2560185, 3151348, 0.7963575
145, 9.283022, 2394218, 3206260, 0.7975551
146, 10.88181, 2255413, 3255593, 0.7827095
147, 13.3156, 2259279, 3436714, 0.7728251
148, 11.86409, 2394616, 3054160, 0.7749306
149, 9.206971, 2394249, 3138238, 0.7892676
150, 8.74077, 2401289, 3310982, 0.7980838
151, 10.11185, 2407247, 3105004, 0.7902744
152, 10.62326, 2425438, 2991757, 0.79544
153, 9.926028, 2578183, 3004107, 0.7968507
154, 9.155557, 2862888, 2969750, 0.7900491
155, 9.979263, 2754198, 2931136, 0.7890913
156, 11.01607, 2766808, 3138670, 0.7940696
157, 9.995056, 2767339, 2909141, 0.7794837
158, 11.59841, 2764853, 2844242, 0.780139
159, 13.17813, 2756626, 2881653, 0.7822571
160, 12.1563, 2618978, 2872645, 0.7806441
161, 11.17975, 2610001, 2981632, 0.7699706
162, 13.11299, 2622407, 3069967, 0.764759
163, 16.54514, 2757481, 3104527, 0.7623823
164, 17.10613, 2753426, 3076571, 0.7614454
165, 15.77177, 2487112, 2851720, 0.7660081
166, 14.04931, 2473367, 2809388, 0.763405
167, 13.51677, 2589954, 2850687, 0.7672695
168, 12.52025, 2582654, 2944473, 0.7713122
169, 11.20562, 2586271, 3371138, 0.7844811
170, 12.18415, 2489335, 3538231, 0.7800609
171, 16.82452, 2607253, 3302115, 0.7503805
172, 19.37638, 2624903, 3206561, 0.7401413
173, 16.73271, 2638911, 2954606, 0.7519781
174, 13.07605, 2636592, 2815921, 0.7664614
175, 11.99527, 2749886, 2795321, 0.7652661
176, 15.30763, 2589472, 2885816, 0.7475389
177, 16.09987, 2804411, 2889047, 0.7592407
178, 14.91385, 3033674, 2841847, 0.7691027
179, 13.78639, 3014173, 2919255, 0.7711011
180, 13.87741, 3005318, 2987709, 0.7724386
181, 16.34629, 3001415, 3070933, 0.7643065
182, 16.71897, 3000924, 2927598, 0.7659941
183, 14.11201, 2999874, 3066070, 0.7748811
184, 12.78165, 2999873, 2825650, 0.7798106
185, 11.53055, 2998853, 2893950, 0.7682948
186, 13.05474, 2866359, 2983721, 0.7741022
187, 14.02577, 2867436, 3007660, 0.7771062
188, 14.2473, 2882273, 2813842, 0.7739799
189, 16.54148, 3033178, 3421212, 0.762557
190, 20.90613, 3047188, 3220922, 0.7439106
191, 23.15591, 3058091, 3319437, 0.7464441
192, 23.33689, 3064840, 3496956, 0.7432046
193, 23.82859, 3199349, 3010508, 0.7355841
194, 23.34393, 3199095, 2989048, 0.7201342
195, 21.98276, 3198138, 2954513, 0.7112132
196, 23.97478, 3196795, 3023145, 0.7332439
197, 26.57077, 3195065, 3083402, 0.7388094
198, 26.98198, 3193814, 2845984, 0.7403675
199, 24.61133, 3062188, 3157032, 0.7437403
200, 19.82711, 3060262, 3039955, 0.7464675
201, 15.27091, 2796400, 3235144, 0.7636968
202, 12.48764, 2788030, 3140665, 0.772422
203, 12.22128, 2780069, 3233194, 0.7774898
204, 13.69338, 2902653, 3271863, 0.7708154
205, 16.72807, 2895497, 2734319, 0.7525384
206, 19.94626, 2889075, 2927190, 0.7463132
207, 19.57545, 2883228, 2826487, 0.7519419
208, 17.15566, 2877705, 3181894, 0.7537684
209, 15.85839, 2742654, 3177314, 0.7527289
210, 17.76235, 2737457, 3185708, 0.7398431
211, 20.05322, 2473236, 3291935, 0.7356365
212, 19.40122, 2468540, 3063320, 0.7401838
213, 20.66649, 2464353, 2785277, 0.7345982
214, 26.89543, 2460787, 2671026, 0.7048064
215, 32.1467, 2457890, 3072190, 0.698707
216, 27.72758, 2455778, 2945267, 0.7103723
217, 22.72627, 2455219, 2756400, 0.7296201
218, 17.04397, 2462674, 2923665, 0.7412246
219, 15.04109, 2203515, 3119305, 0.7533324
220, 16.71463, 2197402, 3078741, 0.7398241
221, 19.00285, 2196824, 3024502, 0.7274497
222, 22.57204, 2198793, 2653318, 0.7160607
223, 32.69755, 2202595, 2641625, 0.6569757
224, 43.25308, 2208430, 2645170, 0.6544816
225, 46.64633, 2338914, 2721429, 0.652817
226, 43.34659, 2339786, 2838420, 0.674926
227, 35.82027, 2204267, 2707578, 0.694879
228, 27.14242, 2196615, 2566092, 0.6968264
229, 21.44484, 2190021, 2474110, 0.6964059
230, 19.24941, 2185671, 2833496, 0.7006695
231, 19.39414, 2182692, 3245504, 0.7152262
232, 20.61433, 2180082, 3066891, 0.716926
233, 21.78628, 2177481, 3281965, 0.697131
234, 26.49126, 2174164, 3083975, 0.6829191
235, 31.00743, 2171086, 2968440, 0.6841071
236, 32.65604, 2169252, 2856881, 0.6749767
237, 32.73724, 2169048, 2669525, 0.6593602
238, 35.79515, 2170052, 2483595, 0.6673152
239, 42.59005, 2172557, 2354922, 0.6571568
240, 46.28651, 2175552, 2683151, 0.6420075
241, 46.45518, 2179085, 3449945, 0.6361396
242, 48.95634, 2313097, 3501317, 0.6255144
243, 44.93343, 2187663, 3133619, 0.6287965
244, 41.13034, 2194053, 3290092, 0.6262403
245, 36.97079, 2202950, 2820200, 0.6138178
246, 41.88452, 2217654, 2571391, 0.6210318
247, 43.63343, 2264415, 2488295, 0.6061572
248, 38.51841, 2512547, 2476088, 0.6404345
249, 35.35905, 2532233, 2899041, 0.6581731
250, 33.57612, 2553399, 2793649, 0.6697998
251, 36.26047, 2566995, 3303307, 0.6309474
252, 36.71209, 2570798, 3487056, 0.6357814
253, 35.54546, 2575095, 2625636, 0.6392801
254, 32.43851, 2579889, 2801457, 0.647772
255, 33.93367, 2584743, 2476795, 0.6520579
256, 37.30444, 2589843, 2605586, 0.6503959
257, 38.90376, 2594957, 2595900, 0.6355358
258, 32.17854, 2600106, 2936751, 0.6355599
259, 33.9102, 2605230, 3200606, 0.6148446
260, 34.65111, 2610348, 3331141, 0.6187462
261, 34.87687, 2615534, 3302144, 0.5934649
262, 35.70439, 2620287, 3551943, 0.5896428
263, 36.97577, 2624840, 3029584, 0.5986094
264, 34.09946, 2627695, 2641813, 0.5941796
265, 28.17683, 2630636, 2664952, 0.5971947
266, 27.84779, 2633710, 2835092, 0.5800694
267, 32.42348, 2634464, 2883079, 0.5800694
268, 0, 2729421, 2729421, 0.5800694
269, 3.019683, 2729421, 2998860, 0.7755989
270, 4.617075, 2519777, 2992457, 0.8126949
271, 5.582591, 2597773, 2740966, 0.8059508
272, 10.07886, 2600162, 2995603, 0.7654559
273, 13.6871, 2602331, 2706114, 0.7559389
274, 13.47609, 2603506, 2808239, 0.7607627
275, 11.68503, 2598448, 2524126, 0.7784194
276, 11.98953, 2463226, 2994028, 0.7793074
277, 15.33908, 2469984, 2756271, 0.7692167
278, 21.05221, 2473075, 3216922, 0.7450276
279, 19.41367, 2604378, 3125234, 0.7474146
280, 16.29732, 2606713, 3229729, 0.7554516
281, 14.75258, 2610180, 2578828, 0.7644644
282, 13.3479, 2614723, 2872427, 0.7694086
283, 12.31887, 2488288, 2623638, 0.7727416
284, 11.04955, 2487727, 2289159, 0.7853776
285, 9.408927, 2486327, 2896766, 0.7894638
286, 9.433731, 2606266, 2873329, 0.7813255
287, 14.10708, 2594583, 2783626, 0.7629926
288, 19.57522, 2581696, 3086490, 0.7459376
289, 18.13149, 2565465, 2788869, 0.7440934
290, 14.95359, 2552526, 2721094, 0.7558936
291, 17.61844, 2410790, 2675701, 0.7310396
292, 19.9378, 2273073, 2905888, 0.7223246
293, 19.9564, 2635549, 2628680, 0.734639
294, 16.80783, 2608331, 2720023, 0.7477958
295, 15.4693, 2587536, 2554410, 0.758047
296, 13.79021, 2572422, 2361061, 0.7755259
297, 12.57606, 2563953, 2866586, 0.7853218
298, 13.43909, 2558992, 3083585, 0.7879969
299, 11.89605, 2556499, 2583430, 0.7795874
300, 13.475, 2557217, 2658830, 0.7732251
301, 17.81089, 2688469, 2720634, 0.7621459
302, 17.62779, 2691623, 2641060, 0.7755883
303, 15.1901, 2564725, 2636157, 0.7715436
304, 13.70067, 2696256, 2654063, 0.7728124
305, 14.96306, 2566027, 2692940, 0.7715978
306, 14.56141, 2564449, 2836898, 0.7646984
307, 14.80003, 2562447, 2603616, 0.7608432
308, 16.05645, 2559167, 2783319, 0.7628096
