record_point,rotation_different,animator_rotation,agent_rotation,reward
127, 24.94546, 2196615, 2739521, 0.744186
128, 27.07686, 2190021, 2948958, 0.7409816
129, 25.9302, 2185671, 3256709, 0.7487506
130, 23.72629, 2182692, 3167745, 0.7578503
131, 21.05341, 2180082, 3148512, 0.7653679
132, 18.45, 2177481, 3222437, 0.7692767
133, 16.95637, 2174164, 3410118, 0.7719516
134, 17.16696, 2171086, 3319547, 0.7737697
135, 16.95896, 2169252, 3296697, 0.7779537
136, 17.32148, 2169048, 3090471, 0.7628971
137, 19.52547, 2170052, 2882672, 0.760219
138, 23.64285, 2172557, 2955482, 0.7494299
139, 23.24949, 2175552, 3071060, 0.7591316
140, 20.89023, 2179085, 3066354, 0.7641447
141, 18.07624, 2313097, 3096567, 0.7719752
142, 15.85184, 2187663, 3454516, 0.7758917
143, 15.44099, 2194053, 3384965, 0.7807363
144, 15.87273, 2202950, 3360336, 0.7815053
145, 15.71983, 2217654, 3339463, 0.7825385
146, 15.38226, 2264415, 3389922, 0.7805261
147, 17.13126, 2512547, 3048898, 0.7704076
148, 17.99564, 2532233, 3000749, 0.7756751
149, 17.20208, 2553399, 3084253, 0.7777576
150, 16.35248, 2566995, 3465821, 0.7763583
151, 15.55311, 2570798, 3521213, 0.7741031
152, 16.14652, 2575095, 3460695, 0.7768994
153, 16.32367, 2579889, 3446487, 0.7795642
154, 13.94624, 2584743, 3404366, 0.7787851
155, 14.72232, 2589843, 2823727, 0.7738032
156, 16.62181, 2594957, 2845650, 0.7746516
157, 15.46654, 2600106, 2686425, 0.7773985
158, 14.44654, 2605230, 3156539, 0.7833553
159, 14.70127, 2610348, 3087948, 0.7799837
160, 16.21651, 2615534, 2877219, 0.7747288
161, 16.26703, 2620287, 2967967, 0.7764316
162, 15.18779, 2624840, 2995399, 0.7824799
163, 13.93165, 2627695, 2923281, 0.7861132
164, 13.65913, 2630636, 3232939, 0.7880355
165, 14.32172, 2633710, 2872134, 0.7870793
166, 13.37915, 2634464, 2900734, 0.7870793
167, 0, 2729421, 2729421, 0.7870793
168, 3.082104, 2729421, 2961933, 0.7701164
169, 6.239523, 2519777, 3104146, 0.8006731
170, 6.092493, 2597773, 3353484, 0.8151225
171, 6.481576, 2600162, 3088638, 0.8004231
172, 6.511126, 2602331, 3092782, 0.8095775
173, 6.434377, 2603506, 2944404, 0.8075263
174, 7.626097, 2598448, 2769428, 0.7899088
175, 11.04219, 2463226, 3164364, 0.7820926
176, 15.26924, 2469984, 3043816, 0.7691481
177, 15.29288, 2473075, 2997196, 0.7724631
178, 12.36951, 2604378, 3034193, 0.7804449
179, 11.62277, 2606713, 3128136, 0.781553
180, 10.79607, 2610180, 3070002, 0.7739921
181, 11.70297, 2614723, 3032357, 0.7758897
182, 10.46032, 2488288, 3093736, 0.7998208
183, 9.158257, 2487727, 3056580, 0.8055758
184, 8.424057, 2486327, 3038471, 0.8071742
185, 8.845255, 2606266, 2870421, 0.805617
186, 10.46964, 2594583, 2778939, 0.8019454
187, 10.30445, 2581696, 2799828, 0.8031079
188, 9.936902, 2565465, 2842572, 0.8004788
189, 10.52339, 2552526, 2877421, 0.80018
190, 11.57318, 2410790, 2932064, 0.7877589
191, 13.90469, 2273073, 2953628, 0.7866073
192, 12.8054, 2635549, 3094676, 0.7965419
193, 9.713288, 2608331, 3130321, 0.8008796
194, 8.227791, 2587536, 3093933, 0.7979084
195, 11.01359, 2572422, 3026086, 0.7843667
196, 12.03109, 2563953, 3113688, 0.7894281
197, 9.481278, 2558992, 2877587, 0.7962635
198, 9.034791, 2556499, 3052876, 0.7898624
199, 12.41033, 2557217, 3157538, 0.7807159
200, 15.65281, 2688469, 3072554, 0.7848181
201, 15.77123, 2691623, 3058261, 0.7827401
202, 14.98653, 2564725, 3117970, 0.7818628
203, 12.35613, 2696256, 3252570, 0.7943455
204, 10.20545, 2566027, 3366002, 0.7993037
205, 10.58878, 2564449, 3288971, 0.7992178
206, 11.47884, 2562447, 3218288, 0.7992521
207, 11.9753, 2559167, 3540016, 0.7834067
208, 12.86683, 2555262, 2894084, 0.7804807
209, 14.42301, 2550561, 3176989, 0.7795479
210, 14.21941, 2542535, 3006513, 0.7886178
211, 11.53875, 2560185, 2969972, 0.7927313
212, 9.4068, 2394218, 3218252, 0.7940899
213, 9.544334, 2255413, 3152080, 0.7929744
214, 10.65964, 2259279, 3122848, 0.7891132
215, 11.11104, 2394616, 2993783, 0.7860618
216, 12.17191, 2394249, 2529016, 0.7828591
217, 13.40828, 2401289, 2733885, 0.7759218
218, 16.39457, 2407247, 2694383, 0.7668886
219, 17.73044, 2425438, 2589600, 0.7679746
220, 15.57957, 2578183, 2476415, 0.777956
221, 11.52011, 2862888, 3058806, 0.7855724
222, 8.854385, 2754198, 2951003, 0.782432
223, 9.025885, 2766808, 2883438, 0.7812361
224, 9.836093, 2767339, 3124262, 0.7725294
225, 10.54254, 2764853, 3035224, 0.7733963
226, 11.11439, 2756626, 2622211, 0.7716383
227, 14.58899, 2618978, 2816655, 0.7615136
228, 20.14222, 2610001, 2770866, 0.7538229
229, 20.37778, 2622407, 2850022, 0.7637204
230, 19.78545, 2757481, 2885494, 0.7637973
231, 19.58593, 2753426, 2847146, 0.7615331
232, 17.6876, 2487112, 2938846, 0.7675894
233, 14.76445, 2473367, 2858205, 0.7762044
234, 12.3127, 2589954, 2754050, 0.7820024
235, 12.84135, 2582654, 2774063, 0.7861019
236, 13.13883, 2586271, 2903850, 0.7847743
237, 11.60098, 2489335, 2707954, 0.7737215
238, 11.50765, 2607253, 2739817, 0.7757701
239, 12.06556, 2624903, 2927218, 0.7654557
240, 17.3886, 2638911, 2831280, 0.753387
241, 17.80714, 2636592, 3123986, 0.7656612
242, 18.49391, 2749886, 3138717, 0.7655783
