record_point,rotation_different,animator_rotation,agent_rotation,reward
118, 17.72815, 28.16926, 29.47489, 0.7678621
119, 18.70546, 28.22846, 29.3231, 0.7637345
120, 21.28195, 28.31161, 30.10642, 0.7554073
121, 19.953, 28.41625, 29.29428, 0.7631639
122, 17.19429, 28.53518, 27.64315, 0.7637611
123, 15.81595, 28.65585, 26.89857, 0.7660201
124, 17.97619, 28.77239, 26.87881, 0.7646721
125, 17.90349, 28.88415, 26.22039, 0.7635326
126, 16.77786, 28.96446, 26.19469, 0.7628229
127, 16.74697, 29.03758, 26.33321, 0.7617382
128, 19.36691, 29.08919, 27.81922, 0.7642202
129, 20.05192, 29.13707, 28.24061, 0.7661344
130, 18.20115, 29.18222, 28.01486, 0.7701021
131, 17.03175, 29.22241, 27.94382, 0.7725041
132, 16.34595, 29.26285, 27.4816, 0.772558
133, 16.8877, 29.2959, 27.22308, 0.7717192
134, 17.58154, 29.29964, 27.1816, 0.7716562
135, 17.62479, 29.29934, 26.486, 0.758127
136, 17.8585, 29.282, 26.0582, 0.7647871
137, 19.81406, 29.26292, 26.61639, 0.7637005
138, 22.1197, 29.24146, 27.34727, 0.7545892
139, 20.20853, 29.21404, 26.4714, 0.7626067
140, 17.77307, 29.18359, 24.67942, 0.7676207
141, 15.25555, 29.14449, 24.45646, 0.7747568
142, 12.82409, 29.10561, 25.36637, 0.7746878
143, 12.61832, 29.05588, 25.7442, 0.7854025
144, 12.62883, 29.00894, 25.6209, 0.7849481
145, 12.47265, 28.96868, 26.00642, 0.7801185
146, 12.98907, 28.92451, 25.98835, 0.7788509
147, 14.39704, 28.89829, 26.70561, 0.7779686
148, 15.69912, 28.87191, 27.52747, 0.7774892
149, 14.18798, 28.85014, 27.4629, 0.7795597
150, 12.18523, 28.83023, 27.08148, 0.780407
151, 12.06022, 28.80859, 27.56511, 0.7763007
152, 12.82643, 28.78654, 28.52245, 0.7752345
153, 13.67587, 28.7642, 28.0217, 0.7748924
154, 12.43121, 28.74224, 26.42007, 0.7807125
155, 12.29657, 28.71793, 27.03186, 0.7801117
156, 12.62524, 28.69032, 28.14051, 0.7790134
157, 14.14178, 28.6619, 28.67688, 0.7751215
158, 14.76673, 28.63136, 29.10604, 0.7745405
159, 14.36288, 28.59896, 29.70981, 0.7762966
160, 14.11636, 28.56507, 29.40893, 0.7749481
161, 13.54521, 28.53644, 27.1422, 0.7715812
162, 14.29625, 28.51275, 26.37851, 0.7760894
163, 15.06143, 28.50408, 26.93511, 0.7762522
164, 14.63226, 28.49636, 28.04263, 0.7766216
165, 14.06041, 28.48935, 28.47758, 0.7754326
166, 14.64497, 28.4899, 28.54077, 0.7754326
167, 0, 25.01035, 25.0104, 0.7754326
168, 3.810602, 25.01035, 24.67784, 0.7594803
